coin,fundingRate,premium,time
HYPE,9.73962e-05,0.0012791697,1740715200021
HYPE,1.25e-05,0.0005373419,1740718800040
HYPE,4.6815e-05,0.0008745199,1740722400041
HYPE,4.77864e-05,0.0008822915,1740726000183
HYPE,3.161e-05,0.0007528801,1740729600099
HYPE,8.2541e-05,0.0011603279,1740733200062
HYPE,1.25e-05,0.0005118611,1740736800118
HYPE,9.71492e-05,0.0012771932,1740740400032
HYPE,4.95338e-05,0.0008962704,1740744000119
HYPE,2.30284e-05,0.0006842272,1740747600132
HYPE,4.70019e-05,0.0008760151,1740751200024
HYPE,1.25e-05,0.0003520432,1740754800119
HYPE,1.25e-05,-0.0002153955,1740758400001
HYPE,1.65033e-05,0.0006320267,1740762000029
HYPE,1.25e-05,-5.58579e-05,1740765600031
HYPE,1.25e-05,0.0002202419,1740769200008
HYPE,1.25e-05,-1.592e-05,1740772800006
HYPE,1.25e-05,1.50913e-05,1740776400042
HYPE,1.25e-05,0.0004080139,1740780000048
HYPE,1.25e-05,0.0004894147,1740783600132
HYPE,1.25e-05,0.0001016203,1740787200033
HYPE,1.25e-05,0.0001009254,1740790800110
HYPE,1.25e-05,7.87752e-05,1740794400017
HYPE,1.25e-05,9.45228e-05,1740798000076
HYPE,1.25e-05,-0.0003558199,1740801600052
HYPE,1.25e-05,-0.0002850741,1740805200012
HYPE,1.25e-05,-0.0001638291,1740808800066
HYPE,1.25e-05,0.0003702729,1740812400024
HYPE,1.25e-05,-3.49998e-05,1740816000095
HYPE,1.25e-05,0.0004040965,1740819600045
HYPE,1.25e-05,0.0003475949,1740823200068
HYPE,4.40599e-05,0.0008524789,1740826800017
HYPE,7.2653e-05,0.0010812237,1740830400049
HYPE,1.25e-05,8.71804e-05,1740834000041
HYPE,1.25e-05,0.0004386948,1740837600009
HYPE,1.25e-05,0.0005749664,1740841200038
HYPE,2.79714e-05,0.0007237711,1740844800027
HYPE,1.25e-05,2.2406e-06,1740848400003
HYPE,2.21384e-05,0.000677107,1740852000047
HYPE,1.25e-05,0.0002307788,1740855600093
HYPE,1.25e-05,0.0002338392,1740859200035
HYPE,1.25e-05,-3.71998e-05,1740862800032
HYPE,1.25e-05,-1.34589e-05,1740866400007
HYPE,1.25e-05,0.0003268603,1740870000025
HYPE,1.25e-05,0.0005679881,1740873600094
HYPE,1.25e-05,-6.58849e-05,1740877200036
HYPE,1.25e-05,6.41902e-05,1740880800076
HYPE,1.25e-05,5.51591e-05,1740884400016
HYPE,1.25e-05,0.0001672919,1740888000012
HYPE,1.25e-05,0.0005982347,1740891600085
HYPE,1.25e-05,-0.000165848,1740895200004
HYPE,1.25e-05,0.0004387304,1740898800083
HYPE,1.25e-05,0.0005502216,1740902400006
HYPE,1.25e-05,4.7138e-06,1740906000055
HYPE,1.25e-05,-1.04768e-05,1740909600057
HYPE,3.21006e-05,0.0007568046,1740913200110
HYPE,5.39392e-05,0.0009315133,1740916800051
HYPE,1.25e-05,0.0004550302,1740920400031
HYPE,2.55776e-05,0.0007046207,1740924000018
HYPE,9.1593e-05,0.0012327437,1740927600010
HYPE,7.56389e-05,0.0011051114,1740931200006
HYPE,1.25e-05,8.49916e-05,1740934800036
HYPE,1.25e-05,-4.75037e-05,1740938400042
HYPE,1.25e-05,0.0001991647,1740942000007
HYPE,7.89247e-05,0.0011313974,1740945600088
HYPE,1.25e-05,0.0002800406,1740949200026
HYPE,1.25e-05,0.0003555334,1740952800027
HYPE,2.93092e-05,0.0007344733,1740956400136
HYPE,2.36162e-05,0.00068893,1740960000048
HYPE,6.57055e-05,0.0010256442,1740963600018
HYPE,0.0001014871,0.0013118968,1740967200076
HYPE,0.0001023097,0.0013184778,1740970800003
HYPE,0.0001481991,0.0016855931,1740974400243
HYPE,9.56025e-05,0.0012648203,1740978000037
HYPE,1.25e-05,6.72242e-05,1740981600048
HYPE,1.25e-05,5.20275e-05,1740985200007
HYPE,1.25e-05,0.0001859032,1740988800047
HYPE,1.25e-05,0.0005537369,1740992400041
HYPE,1.25e-05,0.0004722871,1740996000025
